PRIM_CONTRIBUTORY_CAUSE,POSTED_SPEED_LIMIT,DEVICE_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,CRASH_TYPE,MOST_SEVERE_INJURY
PHYSICAL CONDITION OF DRIVER,SPEED LIMIT 35,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,INJURY AND / OR TOW DUE TO CRASH,INCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 10,NO CONTROLS,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",SPEED LIMIT 35,NO CONTROLS,DAWN,PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
DISREGARDING STOP SIGN,SPEED LIMIT 30,FUNCTIONING PROPERLY,DARKNESS,PEDALCYCLIST,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 35,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,INCAPACITATING INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT 25,NO CONTROLS,DARKNESS,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,INJURY AND / OR TOW DUE TO CRASH,"REPORTED, NOT EVIDENT"
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",SIDESWIPE OPPOSITE DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 20,NO CONTROLS,"DARKNESS, LIGHTED ROAD",TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 35,NO CONTROLS,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,UNKNOWN,"DARKNESS, LIGHTED ROAD",SIDESWIPE OPPOSITE DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 25,NO CONTROLS,"DARKNESS, LIGHTED ROAD",TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 20,NO CONTROLS,DARKNESS,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DISREGARDING ROAD MARKINGS,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 35,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,UNKNOWN,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 25,NO CONTROLS,"DARKNESS, LIGHTED ROAD",ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DARKNESS,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 25,NO CONTROLS,UNKNOWN,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,-1
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER BACKING,SPEED LIMIT 30,NO CONTROLS,DARKNESS,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER BACKING,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DARKNESS,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,INJURY AND / OR TOW DUE TO CRASH,"REPORTED, NOT EVIDENT"
EXCEEDING AUTHORIZED SPEED LIMIT,SPEED LIMIT 35,UNKNOWN,DARKNESS,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DARKNESS,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DARKNESS,PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT 40,NO CONTROLS,"DARKNESS, LIGHTED ROAD",REAR END,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 25,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",ANGLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO REDUCE SPEED TO AVOID CRASH,SPEED LIMIT 35,FUNCTIONING PROPERLY,DARKNESS,REAR END,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DARKNESS,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DUSK,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,UNKNOWN,UNKNOWN,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER LANE USAGE,SPEED LIMIT 35,FUNCTIONING IMPROPERLY,DUSK,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
