MOST_SEVERE_INJURY,RD_NO,CRASH_DATE_EST_I,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE
0,445728,-1,35,2,2,0,3,7,5,2,0,0,0,0,1,-1,-1,27,0,2522,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,1,0,23,6,9,41.91967954,-87.7365493
3,445732,1,30,0,0,0,3,8,2,2,0,0,0,1,-1,-1,-1,-1,-1,222,-1,0,-1,-1,-1,-1,2,1,0,1,0,0,0,0,23,6,9,41.80969002,-87.60239185
0,446069,-1,10,0,0,0,3,2,0,1,0,0,0,0,-1,-1,-1,0,-1,322,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,1,0,23,6,9,41.76823143,-87.61708256
0,445724,1,35,0,0,0,2,7,6,-1,0,0,0,1,-1,-1,1,25,-1,2413,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,1,0,23,6,9,41.99187759,-87.70051379
0,448101,-1,30,2,2,0,0,8,5,2,0,0,0,0,-1,-1,1,5,0,822,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,2,0,23,6,9,41.78610932,-87.70836514
3,445705,1,35,1,2,0,3,9,6,2,0,0,0,1,-1,-1,-1,0,21,623,-1,-1,-1,-1,-1,-1,2,1,0,1,0,0,1,0,23,6,9,41.75089105,-87.62596851
0,446903,-1,25,0,0,0,0,7,12,-1,0,0,0,0,-1,-1,-1,11,16,832,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,1,0,23,6,9,41.76272551,-87.68671471
0,445830,-1,30,0,0,0,3,7,2,-1,0,0,0,1,-1,-1,-1,0,0,1932,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,1,0,23,6,9,41.92888452,-87.6537767
1,445707,-1,30,1,2,0,3,12,12,3,0,0,0,1,-1,-1,-1,21,-1,111,-1,-1,-1,-1,-1,-1,2,1,0,0,0,1,3,0,23,6,9,41.88453096,-87.62460205
0,445715,-1,30,0,0,0,3,11,7,2,0,0,0,0,-1,-1,1,0,0,513,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,2,0,22,6,9,41.69623253,-87.5958062
