RD_NO,PERSON_TYPE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,SEX,AGE,SAFETY_EQUIPMENT,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,BAC_RESULT VALUE,CELL_PHONE_USE
39070,0,30,0,0,0,1,12,5,0,0,0,0,0,0,7,0,1,0,0,200,200
39070,0,30,0,0,0,1,12,5,0,0,0,0,0,0,6,0,0,0,0,200,200
44433,0,25,1,2,0,1,12,2,0,0,0,22,21,1,200,0,2,1,0,200,200
44433,0,25,1,2,0,1,12,2,0,0,0,22,21,0,7,2,0,200,0,200,200
44433,1,25,1,2,0,1,12,2,0,0,0,22,21,1,6,2,200,200,200,200,200
142915,0,30,1,2,0,2,12,5,0,0,0,0,0,2,200,200,200,200,200,200,200
142915,0,30,1,2,0,2,12,5,0,0,0,0,0,0,7,200,0,200,0,200,200
142915,0,30,1,2,0,2,12,5,0,0,0,0,0,0,200,200,200,200,200,200,200
142915,1,30,1,2,0,2,12,5,0,0,0,0,0,1,6,0,200,200,200,200,200
142975,0,25,200,200,1,1,12,6,0,200,200,22,22,0,200,200,2,200,200,200,200
142975,0,25,200,200,1,1,12,6,0,200,200,22,22,0,5,200,0,0,0,200,200
145731,0,30,1,2,2,1,12,5,0,1,0,22,21,1,200,200,200,0,0,200,200
145731,0,30,1,2,2,1,12,5,0,1,0,22,21,1,6,200,200,0,0,200,200
146068,0,35,2,2,0,1,0,2,0,0,0,0,0,0,5,0,200,0,0,200,200
146068,0,35,2,2,0,1,0,2,0,0,0,0,0,1,6,0,200,0,0,200,200
149862,0,30,0,0,0,1,7,6,0,0,0,0,0,0,9,0,0,200,0,200,200
152513,0,30,0,0,0,1,10,2,0,0,0,18,200,0,5,0,3,0,0,200,200
152513,0,30,0,0,0,1,10,2,0,0,0,18,200,0,7,0,0,0,0,200,200
152513,1,30,0,0,0,1,10,2,0,0,0,18,200,1,6,0,200,200,200,200,200
152513,1,30,0,0,0,1,10,2,0,0,0,18,200,1,3,0,200,200,200,200,200
152513,1,30,0,0,0,1,10,2,0,0,0,18,200,1,6,0,200,200,200,200,200
152513,1,30,0,0,0,1,10,2,0,0,0,18,200,0,3,0,200,200,200,200,200
152513,1,30,0,0,0,1,10,2,0,0,0,18,200,0,2,0,200,200,200,200,200
218230,0,30,1,2,0,1,0,5,0,1,0,16,200,1,6,0,200,0,0,200,200
218230,0,30,1,2,0,1,0,5,0,1,0,16,200,1,6,0,200,0,0,200,200
218230,1,30,1,2,0,1,0,5,0,1,0,16,200,1,5,0,200,200,200,200,200
218230,1,30,1,2,0,1,0,5,0,1,0,16,200,1,5,0,200,200,200,200,200
218230,1,30,1,2,0,1,0,5,0,1,0,16,200,1,5,0,200,200,200,200,200
219997,0,30,0,0,0,3,0,5,0,0,200,17,200,0,7,200,0,0,0,200,200
219997,0,30,0,0,0,3,0,5,0,0,200,17,200,1,200,200,0,0,0,200,200
220802,0,30,200,200,0,1,0,200,0,0,200,0,200,1,200,0,200,200,0,200,200
220802,0,30,200,200,0,1,0,200,0,0,200,0,200,1,200,0,0,200,0,200,200
221439,0,30,200,200,0,1,10,200,0,0,0,18,16,1,7,0,3,0,0,200,200
221439,0,30,200,200,0,1,10,200,0,0,0,18,16,0,200,200,0,200,200,200,200
232602,0,30,0,0,0,1,11,5,0,2,12,0,200,1,6,200,200,200,200,200,200
232602,0,30,0,0,0,1,11,5,0,2,12,0,200,0,6,200,12,200,200,200,200
236154,0,30,1,2,0,1,12,3,0,0,0,17,17,1,6,0,4,0,0,200,200
236154,0,30,1,2,0,1,12,3,0,0,0,17,17,0,7,1,0,0,0,200,200
236154,1,30,1,2,0,1,12,3,0,0,0,17,17,0,7,0,200,200,200,200,200
242228,0,30,0,0,2,1,7,4,0,1,0,0,200,1,7,200,12,200,0,200,200
246110,0,25,2,2,0,3,5,5,0,0,0,0,0,2,200,200,200,200,200,200,200
246230,0,30,1,2,0,1,10,5,0,0,0,11,0,1,6,0,3,0,0,200,200
246230,0,30,1,2,0,1,10,5,0,0,0,11,0,0,6,0,0,0,0,200,200
246230,1,30,1,2,0,1,10,5,0,0,0,11,0,1,200,0,200,200,200,200,200
246613,0,30,1,2,0,1,10,8,3,0,0,20,11,0,6,0,6,12,0,200,200
246613,0,30,1,2,0,1,10,8,3,0,0,20,11,0,5,3,0,0,0,200,200
247543,0,30,0,0,0,1,14,5,0,0,0,21,200,0,6,0,7,12,0,200,200
247543,0,30,0,0,0,1,14,5,0,0,0,21,200,0,6,0,12,0,0,200,200
247543,1,30,0,0,0,1,14,5,0,0,0,21,200,1,6,200,200,200,200,200,200
247543,1,30,0,0,0,1,14,5,0,0,0,21,200,0,200,200,200,200,200,200,200
247543,1,30,0,0,0,1,14,5,0,0,0,21,200,0,200,200,200,200,200,200,200
247543,1,30,0,0,0,1,14,5,0,0,0,21,200,1,200,200,200,200,200,200,200
247543,1,30,0,0,0,1,14,5,0,0,0,21,200,2,200,200,200,200,200,200,200
254951,0,30,0,0,0,1,12,6,0,0,0,0,200,2,200,200,200,200,200,200,200
254951,0,30,0,0,0,1,12,6,0,0,0,0,200,2,200,200,200,200,200,200,200
258322,0,10,0,0,200,200,14,7,0,200,200,0,0,0,7,0,0,200,0,200,200
258322,0,10,0,0,200,200,14,7,0,200,200,0,0,0,5,200,200,200,200,200,200
264273,0,30,0,0,0,1,7,5,0,0,0,16,16,2,200,200,6,200,200,200,200
277763,0,30,1,2,0,1,12,1,0,0,0,22,200,1,200,200,2,200,200,200,200
277763,0,30,1,2,0,1,12,1,0,0,0,22,200,1,6,0,0,0,0,200,200
277763,0,30,1,2,0,1,12,1,0,0,0,22,200,0,6,0,0,0,0,200,200
277763,1,30,1,2,0,1,12,1,0,0,0,22,200,0,200,0,200,200,200,200,200
277763,1,30,1,2,0,1,12,1,0,0,0,22,200,1,200,0,200,200,200,200,200
277763,1,30,1,2,0,1,12,1,0,0,0,22,200,0,200,0,200,200,200,200,200
278809,0,30,2,2,0,1,9,5,0,0,0,5,200,0,8,0,5,0,0,200,200
278809,5,30,2,2,0,1,9,5,0,0,0,5,200,0,2,7,0,200,0,200,200
281802,0,30,0,0,0,1,2,2,0,0,0,14,200,1,7,200,200,200,7,200,200
284615,0,30,2,2,0,1,0,5,0,0,0,17,17,1,6,0,1,12,0,200,200
284615,0,30,2,2,0,1,0,5,0,0,0,17,17,0,6,0,0,0,0,200,200
284615,1,30,2,2,0,1,0,5,0,0,0,17,17,200,200,0,200,200,200,200,200
284615,1,30,2,2,0,1,0,5,0,0,0,17,17,0,6,0,200,200,200,200,200
285830,0,30,0,0,0,1,14,5,0,0,0,33,0,1,6,0,1,1,0,200,200
285830,0,30,0,0,0,1,14,5,0,0,0,33,0,1,5,0,200,12,0,200,200
288691,0,30,1,2,0,1,10,5,0,0,0,0,0,0,6,0,200,0,0,200,200
288691,0,30,1,2,0,1,10,5,0,0,0,0,0,1,6,0,200,0,0,200,200
288691,1,30,1,2,0,1,10,5,0,0,0,0,0,1,6,0,200,200,200,200,200
289176,0,0,1,2,0,1,10,3,0,0,0,18,200,0,200,200,3,200,200,200,200
289176,0,0,1,2,0,1,10,3,0,0,0,18,200,1,6,0,0,0,0,200,200
291127,0,35,1,2,0,3,14,3,0,0,0,21,200,0,7,200,4,200,200,200,200
291127,0,35,1,2,0,3,14,3,0,0,0,21,200,0,5,200,0,0,0,200,200
291127,1,35,1,2,0,3,14,3,0,0,0,21,200,0,200,200,200,200,200,200,200
291127,1,35,1,2,0,3,14,3,0,0,0,21,200,1,200,200,200,200,200,200,200
291127,1,35,1,2,0,3,14,3,0,0,0,21,200,1,200,200,200,200,200,200,200
297303,0,10,200,200,0,1,0,7,0,0,200,20,0,1,5,200,6,200,200,200,200
297303,0,10,200,200,0,1,0,7,0,0,200,20,0,1,6,200,200,200,200,200,200
300656,0,30,1,2,0,1,7,6,0,0,200,20,11,0,200,200,6,200,200,200,200
302055,0,30,0,0,0,1,7,5,0,0,0,0,200,2,200,200,200,200,200,200,200
307486,0,30,0,0,0,1,7,2,0,0,0,0,0,2,200,200,200,200,200,200,200
309229,0,30,1,2,0,1,12,2,0,0,0,22,18,0,5,0,2,0,0,200,200
309229,0,30,1,2,0,1,12,2,0,0,0,22,18,0,6,0,0,0,0,200,200
309229,1,30,1,2,0,1,12,2,0,0,0,22,18,1,6,0,200,200,200,200,200
309432,0,15,0,0,0,1,7,7,0,0,0,27,11,1,9,200,12,0,0,200,200
309432,1,15,0,0,0,1,7,7,0,0,0,27,11,1,5,200,200,200,200,200,200
312015,0,30,0,0,2,3,7,5,0,1,0,0,200,2,200,200,200,200,200,200,200
312751,0,30,2,2,0,1,0,12,0,0,0,32,32,0,6,0,0,0,0,200,200
312751,0,30,2,2,0,1,0,12,0,0,0,32,32,0,6,0,1,0,0,200,200
312751,1,30,2,2,0,1,0,12,0,0,0,32,32,1,200,0,200,200,200,200,200
312751,1,30,2,2,0,1,0,12,0,0,0,32,32,0,200,5,200,200,200,200,200
312868,0,30,2,2,0,1,0,5,0,1,0,17,33,1,6,0,1,12,0,200,200
312868,0,30,2,2,0,1,0,5,0,1,0,17,33,0,6,0,0,0,0,200,200
316007,0,30,2,0,0,3,12,8,1,0,0,21,0,2,200,200,12,200,200,200,200
316007,0,30,2,0,0,3,12,8,1,0,0,21,0,0,8,200,0,0,0,200,200
316012,0,30,1,2,0,3,5,5,0,0,0,0,200,0,6,0,200,200,7,200,200
316014,0,30,0,200,0,3,7,5,0,0,0,0,0,2,200,200,200,200,200,200,200
316036,0,35,1,2,0,3,10,3,0,0,200,18,0,1,5,0,3,0,0,200,200
316036,0,35,1,2,0,3,10,3,0,0,200,18,0,0,5,0,0,0,0,200,200
316036,1,35,1,2,0,3,10,3,0,0,200,18,0,1,5,0,200,200,200,200,200
316052,0,30,1,2,2,3,10,5,0,1,200,16,18,0,7,0,3,0,0,200,200
316052,0,30,1,2,2,3,10,5,0,1,200,16,18,0,4,0,0,200,0,200,200
316055,0,30,0,0,2,3,2,6,0,1,0,0,0,0,7,0,200,0,200,200,200
316055,1,30,0,0,2,3,2,6,0,1,0,0,0,0,200,0,200,200,200,200,200
316066,0,30,1,200,2,3,10,5,0,1,200,0,200,0,5,0,200,200,200,200,200
316066,0,30,1,200,2,3,10,5,0,1,200,0,200,1,4,0,200,200,200,200,200
316066,1,30,1,200,2,3,10,5,0,1,200,0,200,1,5,0,200,200,200,200,200
316066,1,30,1,200,2,3,10,5,0,1,200,0,200,1,5,0,200,200,200,200,200
316066,1,30,1,200,2,3,10,5,0,1,200,0,200,1,5,0,200,200,200,200,200
316066,1,30,1,200,2,3,10,5,0,1,200,0,200,1,5,0,200,200,200,200,200
316066,1,30,1,200,2,3,10,5,0,1,200,0,200,1,4,0,200,200,200,200,200
316069,0,40,0,200,2,3,2,3,0,1,200,0,200,2,200,200,200,200,200,200,200
316070,4,30,1,2,2,3,8,2,0,1,0,17,0,0,5,2,1,200,0,200,200
316070,0,30,1,2,2,3,8,2,0,1,0,17,0,0,7,200,0,200,0,200,200
316071,0,30,1,2,2,3,10,2,0,1,200,18,200,0,6,200,3,200,0,200,200
316071,0,30,1,2,2,3,10,2,0,1,200,18,200,0,5,200,0,200,0,200,200
316077,0,30,1,2,2,3,7,5,0,1,0,0,0,2,200,200,200,200,200,200,200
316079,0,30,1,2,2,3,0,2,0,1,200,0,0,0,200,200,200,200,200,200,200
316079,0,30,1,2,2,3,0,2,0,1,200,0,0,0,6,200,200,200,7,200,200
316079,1,30,1,2,2,3,0,2,0,1,200,0,0,1,5,200,200,200,200,200,200
316083,0,30,1,200,200,3,10,5,0,200,200,18,200,2,200,200,3,200,200,200,200
316083,0,30,1,200,200,3,10,5,0,200,200,18,200,1,5,200,0,200,0,200,200
316083,1,30,1,200,200,3,10,5,0,200,200,18,200,0,200,200,200,200,200,200,200
316085,0,30,0,0,2,3,2,3,0,1,0,0,0,0,6,200,0,200,0,200,200
316085,3,30,0,0,2,3,2,3,0,1,0,0,0,200,200,200,200,200,200,200,200
316095,0,10,0,0,2,3,2,7,0,1,0,200,200,1,9,0,200,0,200,200,200
316097,0,35,1,2,2,3,10,5,0,1,0,32,16,1,5,200,1,200,5,0.17,200
316097,0,35,1,2,2,3,10,5,0,1,0,32,16,0,4,200,0,200,0,200,200
316146,0,20,0,0,2,1,7,7,0,0,0,200,200,2,200,200,200,200,200,200,200
316150,0,30,1,2,2,1,14,5,0,1,0,6,25,0,5,0,5,0,0,200,200
316150,0,30,1,2,2,1,14,5,0,1,0,6,25,1,6,0,0,0,0,200,200
