MOST_SEVERE_INJURY,PERSON_TYPE,CRASH_DATE_EST_I,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,SEX,AGE,BAC_RESULT VALUE
0,0,-1,30,0,0,0,1,12,5,-1,0,0,0,0,-1,-1,-1,0,0,0,53,-1
0,0,-1,30,0,0,0,1,12,5,-1,0,0,0,0,-1,-1,-1,0,0,0,42,-1
0,0,-1,25,1,2,0,1,12,2,-1,0,0,0,0,1,-1,-1,22,21,1,-1,-1
0,0,-1,25,1,2,0,1,12,2,-1,0,0,0,0,1,-1,-1,22,21,0,50,-1
0,1,-1,25,1,2,0,1,12,2,-1,0,0,0,0,1,-1,-1,22,21,1,36,-1
0,0,-1,30,1,2,0,2,12,5,8,0,0,0,0,-1,-1,1,0,0,2,-1,-1
0,0,-1,30,1,2,0,2,12,5,8,0,0,0,0,-1,-1,1,0,0,0,54,-1
0,0,-1,30,1,2,0,2,12,5,8,0,0,0,0,-1,-1,1,0,0,0,-1,-1
0,1,-1,30,1,2,0,2,12,5,8,0,0,0,0,-1,-1,1,0,0,1,45,-1
0,0,-1,25,-1,-1,1,1,12,6,1,0,-1,-1,0,-1,-1,1,22,22,0,-1,-1
0,0,-1,25,-1,-1,1,1,12,6,1,0,-1,-1,0,-1,-1,1,22,22,0,26,-1
0,0,-1,30,1,2,2,1,12,5,-1,0,1,0,0,1,-1,-1,22,21,1,-1,-1
0,0,-1,30,1,2,2,1,12,5,-1,0,1,0,0,1,-1,-1,22,21,1,45,-1
0,0,-1,35,2,2,0,1,0,2,-1,0,0,0,0,-1,-1,-1,0,0,0,21,-1
0,0,-1,35,2,2,0,1,0,2,-1,0,0,0,0,-1,-1,-1,0,0,1,44,-1
0,0,-1,30,0,0,0,1,7,6,1,0,0,0,0,-1,-1,-1,0,0,0,81,-1
